Check,Status,Detail
Performance price basis,PASS,"Unified Adjusted Close total return · tactical sleeve, VOO benchmark, all models · dividends reported separately"
VOO benchmark basis,PASS,VOO uses Adjusted Close throughout — benchmark and all model allocations
Signal price basis,PASS,Raw Close for MGK/MGV ratio and EMA89; configurable via SIGNAL_PRICE_BASIS
Dividend treatment,PASS,Cash distributions reported separately; not reinvested in price-return NAV
Allocation file,PASS,Config/MWM_Allocations.csv
Allocation rows,PASS,82
Static MWM models,PASS,"MWM Aggressive, MWM Balanced, MWM Conservative, MWM Growth, MWM Growth Plus, MWM Moderate, MWM Ultra Aggressive"
Tactical models,PASS,"Tactical Aggressive, Tactical Balanced, Tactical Conservative, Tactical Growth, Tactical Growth Plus, Tactical Moderate, Tactical Ultra Aggressive"
Tactical sleeve,PASS,Binary MGK/MGV — no JIVE (v3.5)
EMA warmup,PASS,Price history from 2008-01-01; EMA89 warm by 2011-01-01; portfolio NAV starts from 2011-01-01
Cooldown rule,PASS,"2 trading days after any trade (Growth<->Value, uniform)"
Open-price execution,PASS,Trade-day return split at open price; fallback to prior close if open missing
Allocation assets resolve to live data,PASS,All Production_Assets have OK price data
Adjusted composite rows,PASS,12582
Raw composite rows,PASS,12582
Signal rows,PASS,4671
Trade ledger rows,PASS,92
Portfolio values rows,PASS,3905
Latest signal date,PASS,2026-07-20 00:00:00
Latest portfolio date,PASS,2026-07-17 00:00:00
Portfolio rebalancing,PASS,Annual (first trading day of each year) for multi-asset models; continuous blend for single-asset models
Backfill scaling,PASS,Ratio-scaled to first live observation
Chart downsampling,PASS,"Daily <=2Y, Weekly >2Y, Monthly >=8Y/SI"
Drawdown chart,PASS,Daily drawdown computed before downsampling
